City_ID,City,Country,Description,Max Temp,Lat,Lng,Hotel Name
81,Imbituba,BR,overcast clouds,72.82,-28.24,-48.6703,Praia Hotel Imbituba
82,Pangkalanbuun,ID,overcast clouds,75.27,-2.6833,111.6167,Grand Kecubung Hotel
85,Kannur,IN,broken clouds,75.7,11.8675,75.3576,Asokam Beach Resort and Ayurveda Chikitsa Kendram
91,Bambous Virieux,MU,few clouds,72.21,-20.3428,57.7575,Casa Tia Villa
93,Hermanus,ZA,overcast clouds,58.8,-34.4187,19.2345,Misty Waves Boutique Hotel
95,Lima,PE,clear sky,66.9,-12.0432,-77.0282,Gran Hotel Bolivar Lima
101,Lagoa,PT,overcast clouds,66.09,39.05,-27.9833,Casa Das Faias
104,Simga,IN,clear sky,65.93,21.6333,81.7,OM Hotel & Sweet
105,Mahebourg,MU,few clouds,72.25,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
110,Ponta Do Sol,PT,overcast clouds,69.01,32.6667,-17.1,Hotel do Campo
116,Ghanzi,BW,clear sky,67.95,-21.5667,21.7833,Ghanzi Farmhouse
120,Castro,BR,overcast clouds,69.03,-24.7911,-50.0119,CHACARA BAILLY
121,Belmonte,BR,clear sky,73.71,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
122,Saint-Philippe,RE,few clouds,72.99,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
124,Richards Bay,ZA,light rain,65.34,-28.783,32.0377,BON Hotel Waterfront Richards Bay
127,Coquimbo,CL,overcast clouds,57.99,-29.9533,-71.3436,Punto de encuentro
132,Saurimo,AO,overcast clouds,64.02,-9.6608,20.3916,Hotel Kawissa Saurimo
133,Copiapo,CL,overcast clouds,64.92,-27.3667,-70.3333,San Francisco de La Selva
134,Arraial Do Cabo,BR,few clouds,71.94,-22.9661,-42.0278,Pousada Porto Praia
135,Hukuntsi,BW,clear sky,66.92,-24.0,21.75,Entabeni Hotel
137,Caravelas,BR,clear sky,71.11,-17.7125,-39.2481,Pousada dos Navegantes
141,Shrirangapattana,IN,overcast clouds,66.81,12.4136,76.7042,"Mayura River View, Srirangapatna"
144,Rosario,AR,clear sky,73.6,-32.9468,-60.6393,"Holiday Inn Rosario, an IHG Hotel"
152,Hualmay,PE,overcast clouds,65.8,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
157,Codrington,AU,light rain,68.83,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
159,Simao,CN,overcast clouds,58.12,22.7886,100.9748,Changyu Hotel
162,Souillac,MU,clear sky,72.36,-20.5167,57.5167,Shanti Maurice Resort & Spa
164,Quatre Cocos,MU,few clouds,72.09,-20.2078,57.7625,Sunrise Attitude Hotel
172,Antofagasta,CL,scattered clouds,61.07,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
178,Brumado,BR,overcast clouds,74.03,-14.2036,-41.6653,Hotel São Lázaro
184,Ojinaga,MX,clear sky,71.42,29.5667,-104.4167,Suites Las Palmas
187,Junnar,IN,scattered clouds,72.97,19.2,73.8833,Hotel Anand
194,Los Llanos De Aridane,ES,clear sky,64.15,28.6585,-17.9182,Valle Aridane
195,Ko Samui,TH,overcast clouds,75.97,9.5357,99.9357,The Passage
198,Chimbarongo,CL,clear sky,68.88,-34.7,-71.05,Hostal Ruka Kamañ
202,Xapuri,BR,overcast clouds,74.37,-10.6517,-68.5044,Pousada dos Chapurys
203,El Carmen,CO,overcast clouds,68.13,8.5106,-73.4478,Hotel La Casona
204,Bela,IN,clear sky,59.16,25.9333,81.9833,Raj Bhawan
205,Forio,IT,overcast clouds,59.25,40.7342,13.8646,Hotel Terme Providence
206,Saltillo,MX,scattered clouds,66.92,25.4167,-101.0,Hotel Urdinola
208,Juarez,MX,broken clouds,65.12,31.7333,-106.4833,Hotel Santa Fe
210,Ahvaz,IR,clear sky,64.22,31.3203,48.6693,tashrifat tourism travel agency
215,Jalu,LY,overcast clouds,65.37,29.0331,21.5482,صاحبة الفخامة
218,Mabaruma,GY,overcast clouds,73.65,8.2,-59.7833,Monty Brooms Guest House
234,Guatire,VE,broken clouds,71.58,10.4762,-66.5427,Parque Residencial Canaima I
235,Jalalpur Pirwala,PK,clear sky,63.01,29.5069,71.2192,Bhatti Easy Paisa Shop
239,San Patricio,US,overcast clouds,69.89,28.017,-97.5169,"Motel 6 Sinton, TX"
242,Manta,EC,overcast clouds,71.56,-0.95,-80.7333,Balandra Hotel
243,Toamasina,MG,clear sky,72.32,-18.1667,49.3833,Hotel H1
249,Saldanha,ZA,overcast clouds,61.66,-33.0117,17.9442,Blue Bay Lodge
250,Ilheus,BR,broken clouds,74.52,-14.7889,-39.0494,Barravento Hotel
251,Comodoro Rivadavia,AR,clear sky,73.26,-45.8667,-67.5,Austral Hotel
253,Malampaka,TZ,overcast clouds,70.41,-3.1333,33.5333,Ashura's Guest House
254,Xuddur,SO,overcast clouds,69.94,4.1213,43.8894,Banjanay Hotel
261,Sao Marcos,BR,clear sky,57.34,-28.9711,-51.0681,Hotel São Marcos
