City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
103,Mount Prospect,US,42.0664,-87.9373,38.95,51,1,4.0,clear sky
104,Simga,IN,21.6333,81.7,65.93,56,5,4.99,clear sky
105,Mahebourg,MU,-20.4081,57.7,72.25,77,14,7.45,few clouds
106,Padang,ID,-0.9492,100.3543,78.85,66,100,3.22,overcast clouds
107,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.0,79,7,11.9,clear sky
108,Taoudenni,ML,22.6783,-3.9836,78.15,33,94,7.87,overcast clouds
109,Lebu,CL,-37.6167,-73.65,55.76,89,0,15.41,clear sky
110,Ponta Do Sol,PT,32.6667,-17.1,69.01,76,100,7.4,overcast clouds
111,Oranjestad,AW,12.524,-70.027,81.55,81,26,17.16,scattered clouds
112,Margate,GB,51.3813,1.3862,44.31,91,3,1.99,clear sky
113,Qovlar,AZ,40.948,45.735,50.85,51,20,6.49,few clouds
114,Bintulu,MY,3.1667,113.0333,78.75,90,100,4.07,overcast clouds
115,Huainan,CN,32.6264,116.9969,48.34,34,1,8.23,clear sky
116,Ghanzi,BW,-21.5667,21.7833,67.95,22,0,8.59,clear sky
117,Thompson,CA,55.7435,-97.8558,1.87,88,100,9.82,overcast clouds
118,Santona,ES,43.4439,-3.4576,53.35,93,100,0.94,light rain
119,Sault Sainte Marie,CA,46.5168,-84.3333,34.9,79,97,9.95,overcast clouds
120,Castro,BR,-24.7911,-50.0119,69.03,62,100,6.51,overcast clouds
121,Belmonte,BR,-15.8631,-38.8828,73.71,89,7,3.89,clear sky
122,Saint-Philippe,RE,-21.3585,55.7679,72.99,73,20,9.69,few clouds
123,Varna,BG,43.2167,27.9167,41.23,87,20,9.22,few clouds
124,Richards Bay,ZA,-28.783,32.0377,65.34,75,100,13.33,light rain
125,Chuy,UY,-33.6971,-53.4616,53.83,74,0,4.76,clear sky
126,Shihezi,CN,44.3,86.0333,29.41,60,55,1.86,broken clouds
127,Coquimbo,CL,-29.9533,-71.3436,57.99,83,91,2.75,overcast clouds
128,Floro,NO,61.5996,5.0328,48.16,93,90,17.27,light intensity shower rain
129,Karagaylinskiy,RU,54.172,86.5521,23.23,83,69,18.54,broken clouds
130,Rundu,NA,-17.9333,19.7667,67.1,16,100,5.44,overcast clouds
131,Krasnoselkup,RU,65.7,82.4667,15.35,95,100,9.78,overcast clouds
132,Saurimo,AO,-9.6608,20.3916,64.02,95,100,2.91,overcast clouds
133,Copiapo,CL,-27.3667,-70.3333,64.92,59,94,4.14,overcast clouds
134,Arraial Do Cabo,BR,-22.9661,-42.0278,71.94,89,14,9.48,few clouds
135,Hukuntsi,BW,-24.0,21.75,66.92,31,0,7.31,clear sky
136,Oberndorf,DE,48.2905,8.5722,33.01,86,4,2.48,clear sky
137,Caravelas,BR,-17.7125,-39.2481,71.11,89,5,4.79,clear sky
138,Halifax,CA,44.6453,-63.5724,36.09,92,100,7.0,light rain
139,Evora,PT,38.5667,-7.9,41.11,88,5,3.74,clear sky
140,Ushuaia,AR,-54.8,-68.3,37.94,94,94,5.93,overcast clouds
141,Shrirangapattana,IN,12.4136,76.7042,66.81,94,100,4.63,overcast clouds
142,Geraldton,AU,-28.7667,114.6,82.81,23,0,19.57,clear sky
143,Cibitoke,BI,-2.8833,29.25,61.86,81,27,3.76,scattered clouds
144,Rosario,AR,-32.9468,-60.6393,73.6,49,0,1.99,clear sky
145,Herrin,US,37.8031,-89.0276,41.34,60,1,6.91,clear sky
146,Touros,BR,-5.1989,-35.4608,79.7,79,100,12.03,overcast clouds
147,Eenhana,NA,-17.4667,16.3333,70.54,21,0,6.13,clear sky
148,Larap,PH,14.299,122.6504,82.76,75,85,11.07,overcast clouds
149,Karwar,IN,14.8,74.1333,77.05,84,8,5.86,clear sky
150,Abram,GB,53.5085,-2.5927,48.16,85,100,1.99,overcast clouds
151,Carballo,ES,43.213,-8.691,51.87,77,57,11.56,broken clouds
152,Hualmay,PE,-11.0964,-77.6139,65.8,84,100,7.92,overcast clouds
153,Liverpool,GB,53.4106,-2.9779,48.69,85,100,3.0,overcast clouds
154,Erdenet,MN,49.0333,104.0833,10.38,81,69,3.22,broken clouds
155,Cullera,ES,39.1667,-0.25,52.77,66,100,4.0,overcast clouds
156,Novovasylivka,UA,46.8315,35.7536,30.36,56,24,7.45,few clouds
157,Codrington,AU,-38.2667,141.9667,68.83,69,100,7.38,light rain
158,Beboto,TD,8.2668,16.939,71.76,31,9,0.4,clear sky
159,Simao,CN,22.7886,100.9748,58.12,99,100,2.1,overcast clouds
160,Maceio,BR,-9.6658,-35.7353,78.24,83,20,5.75,few clouds
161,Chajul,GT,15.4853,-91.0342,52.52,96,89,3.27,overcast clouds
162,Souillac,MU,-20.5167,57.5167,72.36,82,9,6.98,clear sky
163,Olafsvik,IS,64.8945,-23.7142,32.94,66,61,20.36,broken clouds
164,Quatre Cocos,MU,-20.2078,57.7625,72.09,77,24,7.14,few clouds
165,Baykit,RU,61.67,96.37,20.66,96,99,5.35,light snow
166,Constitucion,CL,-35.3333,-72.4167,55.24,92,59,8.59,broken clouds
167,Ostrovnoy,RU,68.0531,39.5131,27.34,81,100,11.39,overcast clouds
168,San Rafael Del Sur,NI,11.8485,-86.4384,77.56,72,53,6.89,broken clouds
169,Natal,BR,-5.795,-35.2094,80.82,83,20,9.22,few clouds
170,Cockburn Town,TC,21.4612,-71.1419,81.12,76,90,14.36,overcast clouds
171,Vestmannaeyjar,IS,63.4427,-20.2734,36.77,68,5,29.95,clear sky
172,Antofagasta,CL,-23.65,-70.4,61.07,76,50,1.99,scattered clouds
173,Itaituba,BR,-4.2761,-55.9836,79.14,76,90,1.34,overcast clouds
174,Dikson,RU,73.5069,80.5464,4.26,94,100,11.41,overcast clouds
175,Mustasaari,FI,63.1142,21.6822,39.15,81,75,14.97,broken clouds
176,Dali,CN,25.7,100.1833,47.5,86,50,2.44,scattered clouds
177,Naryan-Mar,RU,67.6713,53.087,17.22,95,100,8.95,overcast clouds
178,Brumado,BR,-14.2036,-41.6653,74.03,86,100,0.85,overcast clouds
179,Borger,NL,52.9233,6.7931,44.8,96,100,5.37,overcast clouds
180,Khatanga,RU,71.9667,102.5,-0.06,80,100,16.67,overcast clouds
181,Saint-Augustin,CA,51.226,-58.6502,40.44,95,100,17.56,overcast clouds
182,Maine-Soroa,NE,13.2114,12.0241,76.68,20,2,9.62,clear sky
183,Dillon,US,34.4166,-79.3712,38.25,35,2,5.64,clear sky
184,Ojinaga,MX,29.5667,-104.4167,71.42,37,1,3.44,clear sky
185,Torbay,CA,47.6666,-52.7314,43.57,95,100,5.01,overcast clouds
186,Cabo San Lucas,MX,22.8909,-109.9124,77.18,75,48,12.68,scattered clouds
187,Junnar,IN,19.2,73.8833,72.97,79,29,3.51,scattered clouds
188,Awjilah,LY,29.1081,21.2869,66.61,32,100,6.2,overcast clouds
189,Chernyshevskiy,RU,63.0128,112.4714,-10.52,91,100,4.32,overcast clouds
190,Yerbogachen,RU,61.2767,108.0108,6.17,97,95,5.44,overcast clouds
191,Gambo,CF,4.6482,22.2633,66.45,63,11,1.05,few clouds
192,Shelburne,CA,44.0787,-80.2041,29.75,87,71,4.97,broken clouds
193,Saskylakh,RU,71.9167,114.0833,-19.48,91,55,12.21,broken clouds
194,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,81,0,5.99,clear sky
195,Ko Samui,TH,9.5357,99.9357,75.97,93,100,8.05,overcast clouds
196,Bonthe,SL,7.5264,-12.505,79.0,83,13,2.17,light rain
197,Kapuskasing,CA,49.4169,-82.4331,26.91,80,100,12.48,overcast clouds
198,Chimbarongo,CL,-34.7,-71.05,68.88,69,0,3.65,clear sky
199,Henties Bay,NA,-22.116,14.2845,56.86,95,24,4.61,few clouds
200,Villaviciosa,ES,43.4813,-5.4357,54.97,93,100,3.85,overcast clouds
201,Erenhot,CN,43.6475,111.9767,24.87,51,0,13.89,clear sky
202,Xapuri,BR,-10.6517,-68.5044,74.37,92,98,0.6,overcast clouds
203,El Carmen,CO,8.5106,-73.4478,68.13,100,100,2.13,overcast clouds
204,Bela,IN,25.9333,81.9833,59.16,37,0,2.55,clear sky
205,Forio,IT,40.7342,13.8646,59.25,70,100,20.76,overcast clouds
206,Saltillo,MX,25.4167,-101.0,66.92,51,40,9.22,scattered clouds
207,Tabou,CI,4.423,-7.3528,78.78,86,18,8.77,few clouds
208,Juarez,MX,31.7333,-106.4833,65.12,32,75,4.61,broken clouds
209,Shubarshi,KZ,48.5872,57.1869,39.87,90,100,9.26,overcast clouds
210,Ahvaz,IR,31.3203,48.6693,64.22,48,0,7.47,clear sky
211,Tessalit,ML,20.1986,1.0114,74.77,32,65,7.83,broken clouds
212,Warrington,GB,53.3925,-2.5802,48.87,85,100,3.0,overcast clouds
213,Labuhan,ID,-6.8844,112.2051,82.22,72,86,10.29,overcast clouds
214,Korla,CN,41.7597,86.1469,26.06,63,6,3.74,clear sky
215,Jalu,LY,29.0331,21.5482,65.37,33,100,5.53,overcast clouds
216,Anori,BR,-3.7728,-61.6442,76.57,84,83,2.93,broken clouds
217,Tuscaloosa,US,33.2098,-87.5692,44.38,75,1,0.0,clear sky
218,Mabaruma,GY,8.2,-59.7833,73.65,98,99,2.84,overcast clouds
219,Matagami,CA,49.7502,-77.6328,12.15,95,96,5.75,overcast clouds
220,Novosergiyevka,RU,52.0934,53.6528,5.83,99,100,3.47,overcast clouds
221,Havre-Saint-Pierre,CA,50.2334,-63.5986,33.42,72,100,17.05,overcast clouds
222,Atasu,KZ,48.6814,71.6433,33.62,99,100,8.68,overcast clouds
223,Puerto Escondido,MX,15.85,-97.0667,81.43,74,20,0.0,few clouds
224,Qasigiannguit,GL,68.8193,-51.1922,28.65,89,100,16.71,light snow
225,Rolla,US,37.9514,-91.7713,48.85,43,1,5.99,clear sky
226,Dole,FR,47.0833,5.5,37.11,86,0,3.44,clear sky
227,Ilulissat,GL,69.2167,-51.1,28.42,54,100,19.57,light snow
228,Baie-Comeau,CA,49.2168,-68.1489,29.08,65,100,13.82,overcast clouds
229,Trairi,BR,-3.2778,-39.2689,80.35,79,94,11.72,overcast clouds
230,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,73.51,99,100,2.1,heavy intensity rain
231,Conde,BR,-7.2597,-34.9075,76.51,80,4,8.57,clear sky
232,Takoradi,GH,4.8845,-1.7554,79.48,81,11,7.76,few clouds
233,Tarko-Sale,RU,64.9225,77.785,8.65,94,98,12.06,overcast clouds
234,Guatire,VE,10.4762,-66.5427,71.58,97,74,1.23,broken clouds
235,Jalalpur Pirwala,PK,29.5069,71.2192,63.01,18,0,2.59,clear sky
236,Pyapon,MM,16.2833,95.6833,78.53,83,96,4.29,overcast clouds
237,Salinopolis,BR,-0.6136,-47.3561,80.69,81,80,11.83,broken clouds
238,Neftcala,AZ,39.3742,49.2472,54.93,75,0,9.69,clear sky
239,San Patricio,US,28.017,-97.5169,69.89,62,97,7.85,overcast clouds
240,Kanniyakumari,IN,8.0833,77.5667,78.46,82,100,6.8,light rain
241,Yellowknife,CA,62.456,-114.3525,-13.45,95,100,5.99,overcast clouds
242,Manta,EC,-0.95,-80.7333,71.56,84,90,10.07,overcast clouds
243,Toamasina,MG,-18.1667,49.3833,72.32,81,7,9.48,clear sky
244,Aksu,CN,41.1231,80.2644,27.09,57,2,2.44,clear sky
245,Simnas,LT,54.4,23.65,35.37,94,71,8.16,broken clouds
246,Kelvington,CA,52.1667,-103.5343,21.51,91,100,14.74,overcast clouds
247,Cao Bang,VN,22.6667,106.25,56.28,73,100,2.48,overcast clouds
248,Nikolaevo,BG,42.6333,25.8,45.23,87,100,2.95,overcast clouds
249,Saldanha,ZA,-33.0117,17.9442,61.66,76,100,15.64,overcast clouds
250,Ilheus,BR,-14.7889,-39.0494,74.52,90,70,2.77,broken clouds
251,Comodoro Rivadavia,AR,-45.8667,-67.5,73.26,11,0,13.8,clear sky
